x;y;z
-1.983695;-0.08301437;2.591514
-1.995019;-0.08445504;2.626355
-2.002301;-0.08546486;2.654561
-1.999574;-0.08515286;2.648599
-2.007854;-0.08578148;2.644539
-2.00191;-0.08514318;2.634444
-1.990441;-0.08381861;2.608521
-1.979087;-0.08275422;2.600014
-1.979381;-0.08279911;2.601443
-1.967608;-0.08163294;2.588273
-1.983963;-0.08315632;2.599838
-1.96934;-0.08162525;2.577743
-1.977314;-0.08232689;2.580528
-1.962375;-0.08095813;2.571546
-1.949466;-0.07972726;2.560436
-1.949466;-0.07972726;2.560436
-1.949466;-0.07972726;2.560436
-1.949466;-0.07972726;2.560436
-2.312784;-0.1626687;2.250082
-1.904859;-0.01805788;2.043697
-1.952058;-0.03120473;1.938543
-1.954583;-0.03008974;1.933221
-1.956074;-0.03044641;1.929909
-1.956275;-0.03491744;1.928727
-1.954994;-0.02051458;1.933916
-1.954994;-0.02051458;1.933916
-1.879293;-0.07321316;2.512347
-1.859444;-0.07139149;2.5002
-1.922589;-0.07696059;2.523125
-1.915405;-0.07662782;2.541434
-1.912824;-0.07622042;2.527997
-1.876554;-0.07271436;2.493471
-1.928603;-0.07772028;2.541256
-1.926921;-0.07728192;2.520474
-1.926921;-0.07728192;2.520474
-1.926921;-0.07728192;2.520474
-1.686559;-0.5190692;2.351008
-1.694644;-0.5190978;2.357421
-1.695728;-0.5190994;2.357855
-1.704156;-0.5191075;2.360584
-1.726261;-0.5190281;2.349396
-1.726261;-0.5190281;2.349396
-2.073396;-0.01898512;2.001466
-2.073396;-0.01898512;2.001466
-2.488194;-0.1779691;1.510896
-2.506261;-0.186743;1.564685
-2.505992;-0.1865954;1.564737
-2.074964;-0.01876271;1.989443
-2.074416;-0.01949631;2.006893
-2.081954;-0.02027956;2.015227
-2.060467;-0.02044715;2.0463
-2.025592;-0.01874816;2.051712
-2.012402;-0.01895246;2.073104
-2.01525;-0.03268985;2.094901
-2.326417;-0.08010572;2.161986
-2.329473;-0.0820774;2.165926
